T24,CO2 emission estimates,,,,,
404,Kenya,2015,Emissions per capita (metric tons of carbon dioxide),0.3120,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
404,Kenya,2016,Emissions per capita (metric tons of carbon dioxide),0.3360,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
404,Kenya,2017,Emissions per capita (metric tons of carbon dioxide),0.3270,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
412,Kosovo,2005,Emissions (thousand metric tons of carbon dioxide),6639.1560,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
412,Kosovo,2010,Emissions (thousand metric tons of carbon dioxide),8695.9470,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
412,Kosovo,2015,Emissions (thousand metric tons of carbon dioxide),8605.6890,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
412,Kosovo,2016,Emissions (thousand metric tons of carbon dioxide),9080.3850,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
412,Kosovo,2017,Emissions (thousand metric tons of carbon dioxide),8168.5500,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
412,Kosovo,2005,Emissions per capita (metric tons of carbon dioxide),3.8920,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
412,Kosovo,2010,Emissions per capita (metric tons of carbon dioxide),4.8960,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
412,Kosovo,2015,Emissions per capita (metric tons of carbon dioxide),4.7760,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
412,Kosovo,2016,Emissions per capita (metric tons of carbon dioxide),5.0000,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
412,Kosovo,2017,Emissions per capita (metric tons of carbon dioxide),4.4610,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
414,Kuwait,1975,Emissions (thousand metric tons of carbon dioxide),15107.4060,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
414,Kuwait,1985,Emissions (thousand metric tons of carbon dioxide),36749.4630,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
414,Kuwait,1995,Emissions (thousand metric tons of carbon dioxide),32351.7080,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
414,Kuwait,2005,Emissions (thousand metric tons of carbon dioxide),64750.0230,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
414,Kuwait,2010,Emissions (thousand metric tons of carbon dioxide),77004.4560,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
414,Kuwait,2015,Emissions (thousand metric tons of carbon dioxide),91638.9150,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
414,Kuwait,2016,Emissions (thousand metric tons of carbon dioxide),93178.7660,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
414,Kuwait,2017,Emissions (thousand metric tons of carbon dioxide),89420.6150,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
414,Kuwait,1975,Emissions per capita (metric tons of carbon dioxide),14.7390,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
414,Kuwait,1985,Emissions per capita (metric tons of carbon dioxide),21.1330,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
414,Kuwait,1995,Emissions per capita (metric tons of carbon dioxide),20.0820,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
414,Kuwait,2005,Emissions per capita (metric tons of carbon dioxide),28.4370,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
414,Kuwait,2010,Emissions per capita (metric tons of carbon dioxide),25.6850,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
414,Kuwait,2015,Emissions per capita (metric tons of carbon dioxide),23.2820,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
414,Kuwait,2016,Emissions per capita (metric tons of carbon dioxide),22.9900,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
414,Kuwait,2017,Emissions per capita (metric tons of carbon dioxide),21.6150,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
417,Kyrgyzstan,1995,Emissions (thousand metric tons of carbon dioxide),4458.5400,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
417,Kyrgyzstan,2005,Emissions (thousand metric tons of carbon dioxide),4891.9000,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
417,Kyrgyzstan,2010,Emissions (thousand metric tons of carbon dioxide),6040.3580,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
417,Kyrgyzstan,2015,Emissions (thousand metric tons of carbon dioxide),9896.8060,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
417,Kyrgyzstan,2016,Emissions (thousand metric tons of carbon dioxide),9298.9930,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
417,Kyrgyzstan,2017,Emissions (thousand metric tons of carbon dioxide),8909.2630,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
417,Kyrgyzstan,1995,Emissions per capita (metric tons of carbon dioxide),0.9780,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
417,Kyrgyzstan,2005,Emissions per capita (metric tons of carbon dioxide),0.9470,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
417,Kyrgyzstan,2010,Emissions per capita (metric tons of carbon dioxide),1.1090,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
417,Kyrgyzstan,2015,Emissions per capita (metric tons of carbon dioxide),1.6610,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
417,Kyrgyzstan,2016,Emissions per capita (metric tons of carbon dioxide),1.5290,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
417,Kyrgyzstan,2017,Emissions per capita (metric tons of carbon dioxide),1.4370,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
428,Latvia,1995,Emissions (thousand metric tons of carbon dioxide),8902.5400,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
428,Latvia,2005,Emissions (thousand metric tons of carbon dioxide),7580.6100,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
428,Latvia,2010,Emissions (thousand metric tons of carbon dioxide),8087.5410,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
428,Latvia,2015,Emissions (thousand metric tons of carbon dioxide),6845.6080,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
428,Latvia,2016,Emissions (thousand metric tons of carbon dioxide),6799.0110,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
428,Latvia,2017,Emissions (thousand metric tons of carbon dioxide),6679.6440,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
428,Latvia,1995,Emissions per capita (metric tons of carbon dioxide),3.5830,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
428,Latvia,2005,Emissions per capita (metric tons of carbon dioxide),3.3860,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
428,Latvia,2010,Emissions per capita (metric tons of carbon dioxide),3.8570,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
428,Latvia,2015,Emissions per capita (metric tons of carbon dioxide),3.4630,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
428,Latvia,2016,Emissions per capita (metric tons of carbon dioxide),3.4710,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
428,Latvia,2017,Emissions per capita (metric tons of carbon dioxide),3.4410,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
422,Lebanon,1975,Emissions (thousand metric tons of carbon dioxide),5709.3670,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
422,Lebanon,1985,Emissions (thousand metric tons of carbon dioxide),6614.0500,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
422,Lebanon,1995,Emissions (thousand metric tons of carbon dioxide),12829.8530,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
422,Lebanon,2005,Emissions (thousand metric tons of carbon dioxide),14523.5990,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
422,Lebanon,2010,Emissions (thousand metric tons of carbon dioxide),18293.3000,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
422,Lebanon,2015,Emissions (thousand metric tons of carbon dioxide),24619.1500,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
422,Lebanon,2016,Emissions (thousand metric tons of carbon dioxide),25460.5100,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
422,Lebanon,2017,Emissions (thousand metric tons of carbon dioxide),26931.0440,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
422,Lebanon,1975,Emissions per capita (metric tons of carbon dioxide),2.2160,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
422,Lebanon,1985,Emissions per capita (metric tons of carbon dioxide),2.4710,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
422,Lebanon,1995,Emissions per capita (metric tons of carbon dioxide),4.2300,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
422,Lebanon,2005,Emissions per capita (metric tons of carbon dioxide),3.6430,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
422,Lebanon,2010,Emissions per capita (metric tons of carbon dioxide),4.2180,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
422,Lebanon,2015,Emissions per capita (metric tons of carbon dioxide),4.2080,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
422,Lebanon,2016,Emissions per capita (metric tons of carbon dioxide),4.2380,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
422,Lebanon,2017,Emissions per capita (metric tons of carbon dioxide),4.4280,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
434,Libya,1975,Emissions (thousand metric tons of carbon dioxide),8670.6000,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
434,Libya,1985,Emissions (thousand metric tons of carbon dioxide),21243.6930,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
434,Libya,1995,Emissions (thousand metric tons of carbon dioxide),32953.7250,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
434,Libya,2005,Emissions (thousand metric tons of carbon dioxide),43101.4590,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
434,Libya,2010,Emissions (thousand metric tons of carbon dioxide),48181.9670,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
434,Libya,2015,Emissions (thousand metric tons of carbon dioxide),42725.7110,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
434,Libya,2016,Emissions (thousand metric tons of carbon dioxide),41056.0510,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
434,Libya,2017,Emissions (thousand metric tons of carbon dioxide),41528.3500,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
434,Libya,1975,Emissions per capita (metric tons of carbon dioxide),3.2780,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
434,Libya,1985,Emissions per capita (metric tons of carbon dioxide),5.4840,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
434,Libya,1995,Emissions per capita (metric tons of carbon dioxide),6.6590,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
434,Libya,2005,Emissions per capita (metric tons of carbon dioxide),7.4400,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
434,Libya,2010,Emissions per capita (metric tons of carbon dioxide),7.8100,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
434,Libya,2015,Emissions per capita (metric tons of carbon dioxide),6.8530,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
434,Libya,2016,Emissions per capita (metric tons of carbon dioxide),6.5240,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
434,Libya,2017,Emissions per capita (metric tons of carbon dioxide),6.5140,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
440,Lithuania,1995,Emissions (thousand metric tons of carbon dioxide),13434.2070,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
440,Lithuania,2005,Emissions (thousand metric tons of carbon dioxide),12443.9510,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
440,Lithuania,2010,Emissions (thousand metric tons of carbon dioxide),12314.7150,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
440,Lithuania,2015,Emissions (thousand metric tons of carbon dioxide),10550.2730,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
440,Lithuania,2016,Emissions (thousand metric tons of carbon dioxide),10750.0050,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
440,Lithuania,2017,Emissions (thousand metric tons of carbon dioxide),10811.0960,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
440,Lithuania,1995,Emissions per capita (metric tons of carbon dioxide),3.7020,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
440,Lithuania,2005,Emissions per capita (metric tons of carbon dioxide),3.7450,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
440,Lithuania,2010,Emissions per capita (metric tons of carbon dioxide),3.9760,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
440,Lithuania,2015,Emissions per capita (metric tons of carbon dioxide),3.6320,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
440,Lithuania,2016,Emissions per capita (metric tons of carbon dioxide),3.7480,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
440,Lithuania,2017,Emissions per capita (metric tons of carbon dioxide),3.8310,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
442,Luxembourg,1975,Emissions (thousand metric tons of carbon dioxide),12739.1680,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
442,Luxembourg,1985,Emissions (thousand metric tons of carbon dioxide),10335.3110,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
442,Luxembourg,1995,Emissions (thousand metric tons of carbon dioxide),8225.7460,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
442,Luxembourg,2005,Emissions (thousand metric tons of carbon dioxide),11493.2990,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
442,Luxembourg,2010,Emissions (thousand metric tons of carbon dioxide),10664.1870,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
442,Luxembourg,2015,Emissions (thousand metric tons of carbon dioxide),8804.6620,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
442,Luxembourg,2016,Emissions (thousand metric tons of carbon dioxide),8501.9820,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
442,Luxembourg,2017,Emissions (thousand metric tons of carbon dioxide),8631.1870,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
442,Luxembourg,1975,Emissions per capita (metric tons of carbon dioxide),35.4850,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
442,Luxembourg,1985,Emissions per capita (metric tons of carbon dioxide),28.1620,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
442,Luxembourg,1995,Emissions per capita (metric tons of carbon dioxide),20.0630,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
442,Luxembourg,2005,Emissions per capita (metric tons of carbon dioxide),24.6640,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
442,Luxembourg,2010,Emissions per capita (metric tons of carbon dioxide),20.9920,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
442,Luxembourg,2015,Emissions per capita (metric tons of carbon dioxide),15.4740,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
442,Luxembourg,2016,Emissions per capita (metric tons of carbon dioxide),14.5580,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
442,Luxembourg,2017,Emissions per capita (metric tons of carbon dioxide),14.4580,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
458,Malaysia,1975,Emissions (thousand metric tons of carbon dioxide),16217.1730,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
458,Malaysia,1985,Emissions (thousand metric tons of carbon dioxide),32910.6060,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
458,Malaysia,1995,Emissions (thousand metric tons of carbon dioxide),79589.9440,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
458,Malaysia,2005,Emissions (thousand metric tons of carbon dioxide),155842.7350,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
458,Malaysia,2010,Emissions (thousand metric tons of carbon dioxide),189860.9010,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
458,Malaysia,2015,Emissions (thousand metric tons of carbon dioxide),220437.5130,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
458,Malaysia,2016,Emissions (thousand metric tons of carbon dioxide),216236.0830,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
458,Malaysia,2017,Emissions (thousand metric tons of carbon dioxide),211046.9670,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
458,Malaysia,1975,Emissions per capita (metric tons of carbon dioxide),1.3330,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
458,Malaysia,1985,Emissions per capita (metric tons of carbon dioxide),2.1100,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
458,Malaysia,1995,Emissions per capita (metric tons of carbon dioxide),3.8830,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
458,Malaysia,2005,Emissions per capita (metric tons of carbon dioxide),6.0740,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
458,Malaysia,2010,Emissions per capita (metric tons of carbon dioxide),6.7540,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
458,Malaysia,2015,Emissions per capita (metric tons of carbon dioxide),7.1750,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
458,Malaysia,2016,Emissions per capita (metric tons of carbon dioxide),6.9340,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
458,Malaysia,2017,Emissions per capita (metric tons of carbon dioxide),6.6740,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
470,Malta,1975,Emissions (thousand metric tons of carbon dioxide),651.3290,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
470,Malta,1985,Emissions (thousand metric tons of carbon dioxide),1158.0700,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
470,Malta,1995,Emissions (thousand metric tons of carbon dioxide),2378.8470,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
470,Malta,2005,Emissions (thousand metric tons of carbon dioxide),2621.8930,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
470,Malta,2010,Emissions (thousand metric tons of carbon dioxide),2580.5760,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
470,Malta,2015,Emissions (thousand metric tons of carbon dioxide),1648.9000,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
470,Malta,2016,Emissions (thousand metric tons of carbon dioxide),1354.0780,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
470,Malta,2017,Emissions (thousand metric tons of carbon dioxide),1516.2760,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
470,Malta,1975,Emissions per capita (metric tons of carbon dioxide),2.1430,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
470,Malta,1985,Emissions per capita (metric tons of carbon dioxide),3.4470,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
