T27,Gross domestic expenditure on research and development (R&D),,,,,
398,Kazakhstan,2011,Gross domestic expenditure on R & D: Government (%),24.8893,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
398,Kazakhstan,2011,Gross domestic expenditure on R & D: Higher education (%),16.3480,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
398,Kazakhstan,2011,Gross domestic expenditure on R & D: Private non-profit (%),6.8994,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
398,Kazakhstan,2011,Gross domestic expenditure on R & D: Funds from abroad (%),0.2743,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
398,Kazakhstan,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1695,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
398,Kazakhstan,2015,Gross domestic expenditure on R & D: Business enterprises (%),36.5882,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
398,Kazakhstan,2015,Gross domestic expenditure on R & D: Government (%),58.7553,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
398,Kazakhstan,2015,Gross domestic expenditure on R & D: Funds from abroad (%),1.8103,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
398,Kazakhstan,2015,Gross domestic expenditure on R & D: Not distributed (%),2.8462,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
398,Kazakhstan,2018,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1229,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
398,Kazakhstan,2018,Gross domestic expenditure on R & D: Business enterprises (%),47.4229,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
398,Kazakhstan,2018,Gross domestic expenditure on R & D: Government (%),44.5080,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
398,Kazakhstan,2018,Gross domestic expenditure on R & D: Funds from abroad (%),2.6632,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
398,Kazakhstan,2018,Gross domestic expenditure on R & D: Not distributed (%),5.4059,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
404,Kenya,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.7858,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
404,Kenya,2010,Gross domestic expenditure on R & D: Business enterprises (%),4.3407,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
404,Kenya,2010,Gross domestic expenditure on R & D: Government (%),25.9641,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
404,Kenya,2010,Gross domestic expenditure on R & D: Private non-profit (%),3.5280,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
404,Kenya,2010,Gross domestic expenditure on R & D: Funds from abroad (%),47.1418,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
414,Kuwait,2004,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1301,Government only.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
414,Kuwait,2004,Gross domestic expenditure on R & D: Business enterprises (%),5.9738,Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
414,Kuwait,2004,Gross domestic expenditure on R & D: Government (%),93.2481,Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
414,Kuwait,2004,Gross domestic expenditure on R & D: Funds from abroad (%),0.7767,Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
414,Kuwait,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1008,Government only.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
414,Kuwait,2005,Gross domestic expenditure on R & D: Business enterprises (%),7.2937,Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
414,Kuwait,2005,Gross domestic expenditure on R & D: Government (%),92.2775,Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
414,Kuwait,2005,Gross domestic expenditure on R & D: Private non-profit (%),0.4271,Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
414,Kuwait,2009,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1122,Government only.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
414,Kuwait,2009,Gross domestic expenditure on R & D: Business enterprises (%),2.3318,Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
414,Kuwait,2009,Gross domestic expenditure on R & D: Government (%),96.4930,Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
414,Kuwait,2009,Gross domestic expenditure on R & D: Funds from abroad (%),1.1752,Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
414,Kuwait,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1014,Government only.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
414,Kuwait,2010,Gross domestic expenditure on R & D: Business enterprises (%),5.1852,Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
414,Kuwait,2010,Gross domestic expenditure on R & D: Government (%),94.8023,Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
414,Kuwait,2010,Gross domestic expenditure on R & D: Private non-profit (%),0.0125,Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
414,Kuwait,2014,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4271,Excluding private non-profit.;Excluding business enterprise.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
414,Kuwait,2014,Gross domestic expenditure on R & D: Business enterprises (%),0.9532,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
414,Kuwait,2014,Gross domestic expenditure on R & D: Government (%),90.2339,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
414,Kuwait,2014,Gross domestic expenditure on R & D: Private non-profit (%),1.0600,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
414,Kuwait,2014,Gross domestic expenditure on R & D: Not distributed (%),2.2633,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
414,Kuwait,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.0966,Break in the time series.;Partial data.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
414,Kuwait,2018,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.0619,Partial data.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
417,Kyrgyzstan,2003,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2227,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
417,Kyrgyzstan,2003,Gross domestic expenditure on R & D: Business enterprises (%),53.6938,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
417,Kyrgyzstan,2003,Gross domestic expenditure on R & D: Government (%),45.1285,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
417,Kyrgyzstan,2003,Gross domestic expenditure on R & D: Higher education (%),0.1071,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
417,Kyrgyzstan,2003,Gross domestic expenditure on R & D: Funds from abroad (%),1.0707,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
417,Kyrgyzstan,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1986,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
417,Kyrgyzstan,2005,Gross domestic expenditure on R & D: Business enterprises (%),36.3773,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
417,Kyrgyzstan,2005,Gross domestic expenditure on R & D: Government (%),63.6228,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
417,Kyrgyzstan,2005,Gross domestic expenditure on R & D: Funds from abroad (%),0.0150,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
417,Kyrgyzstan,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1555,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
417,Kyrgyzstan,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1190,Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
417,Kyrgyzstan,2015,Gross domestic expenditure on R & D: Business enterprises (%),8.6699,Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
417,Kyrgyzstan,2015,Gross domestic expenditure on R & D: Government (%),89.2477,Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
417,Kyrgyzstan,2015,Gross domestic expenditure on R & D: Higher education (%),0.2497,Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
417,Kyrgyzstan,2015,Gross domestic expenditure on R & D: Funds from abroad (%),1.0046,Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
417,Kyrgyzstan,2015,Gross domestic expenditure on R & D: Not distributed (%),0.8282,Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
417,Kyrgyzstan,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1071,Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
417,Kyrgyzstan,2017,Gross domestic expenditure on R & D: Business enterprises (%),6.4261,Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
417,Kyrgyzstan,2017,Gross domestic expenditure on R & D: Government (%),89.5070,Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
417,Kyrgyzstan,2017,Gross domestic expenditure on R & D: Higher education (%),0.2465,Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
417,Kyrgyzstan,2017,Gross domestic expenditure on R & D: Funds from abroad (%),3.0986,Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
417,Kyrgyzstan,2017,Gross domestic expenditure on R & D: Not distributed (%),0.7218,Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
418,Lao People's Dem. Rep.,2002,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.0371,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
418,Lao People's Dem. Rep.,2002,Gross domestic expenditure on R & D: Business enterprises (%),36.0061,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
418,Lao People's Dem. Rep.,2002,Gross domestic expenditure on R & D: Government (%),8.0031,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
418,Lao People's Dem. Rep.,2002,Gross domestic expenditure on R & D: Funds from abroad (%),53.9939,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
428,Latvia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5296,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
428,Latvia,2005,Gross domestic expenditure on R & D: Business enterprises (%),34.3022,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
428,Latvia,2005,Gross domestic expenditure on R & D: Government (%),46.0103,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
428,Latvia,2005,Gross domestic expenditure on R & D: Higher education (%),1.2234,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
428,Latvia,2005,Gross domestic expenditure on R & D: Funds from abroad (%),18.4655,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
428,Latvia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6108,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
428,Latvia,2010,Gross domestic expenditure on R & D: Business enterprises (%),38.8313,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
428,Latvia,2010,Gross domestic expenditure on R & D: Government (%),26.3634,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
428,Latvia,2010,Gross domestic expenditure on R & D: Higher education (%),1.4284,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
428,Latvia,2010,Gross domestic expenditure on R & D: Funds from abroad (%),33.3768,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
428,Latvia,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6262,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
428,Latvia,2015,Gross domestic expenditure on R & D: Business enterprises (%),20.0394,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
428,Latvia,2015,Gross domestic expenditure on R & D: Government (%),32.7201,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
428,Latvia,2015,Gross domestic expenditure on R & D: Higher education (%),2.2339,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
428,Latvia,2015,Gross domestic expenditure on R & D: Funds from abroad (%),45.0066,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
428,Latvia,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5101,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
428,Latvia,2017,Gross domestic expenditure on R & D: Business enterprises (%),24.1479,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
428,Latvia,2017,Gross domestic expenditure on R & D: Government (%),43.5823,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
428,Latvia,2017,Gross domestic expenditure on R & D: Higher education (%),2.4656,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
428,Latvia,2017,Gross domestic expenditure on R & D: Funds from abroad (%),29.8042,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
428,Latvia,2018,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6307,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
426,Lesotho,2004,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.0553,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
426,Lesotho,2009,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.0286,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
426,Lesotho,2009,Gross domestic expenditure on R & D: Business enterprises (%),3.3777,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
426,Lesotho,2009,Gross domestic expenditure on R & D: Government (%),14.9628,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
426,Lesotho,2009,Gross domestic expenditure on R & D: Not distributed (%),78.8620,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
426,Lesotho,2011,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.0116,Partial data.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
426,Lesotho,2011,Gross domestic expenditure on R & D: Funds from abroad (%),3.4453,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
426,Lesotho,2011,Gross domestic expenditure on R & D: Not distributed (%),51.8928,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
426,Lesotho,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.0480,Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
426,Lesotho,2015,Gross domestic expenditure on R & D: Business enterprises (%),0.7813,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
426,Lesotho,2015,Gross domestic expenditure on R & D: Government (%),91.0571,Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
426,Lesotho,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.3386,Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
426,Lesotho,2015,Gross domestic expenditure on R & D: Funds from abroad (%),7.8230,Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.7474,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2005,Gross domestic expenditure on R & D: Business enterprises (%),20.8487,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2005,Gross domestic expenditure on R & D: Government (%),62.7493,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2005,Gross domestic expenditure on R & D: Higher education (%),5.6640,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2005,Gross domestic expenditure on R & D: Private non-profit (%),0.2217,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2005,Gross domestic expenditure on R & D: Funds from abroad (%),10.5164,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.7835,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2010,Gross domestic expenditure on R & D: Business enterprises (%),32.3926,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2010,Gross domestic expenditure on R & D: Government (%),46.0299,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2010,Gross domestic expenditure on R & D: Higher education (%),1.4641,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2010,Gross domestic expenditure on R & D: Private non-profit (%),0.1849,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2010,Gross domestic expenditure on R & D: Funds from abroad (%),19.9290,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.0410,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2015,Gross domestic expenditure on R & D: Business enterprises (%),28.5311,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2015,Gross domestic expenditure on R & D: Government (%),35.3450,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2015,Gross domestic expenditure on R & D: Higher education (%),1.4648,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.3095,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2015,Gross domestic expenditure on R & D: Funds from abroad (%),34.3496,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.8981,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2017,Gross domestic expenditure on R & D: Business enterprises (%),35.4207,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2017,Gross domestic expenditure on R & D: Government (%),36.3594,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
